I: 1571729174551, 9.806335;1571729174648, 9.808331;1571729174743, 9.82727;1571729174839, 9.804016;1571729174935, 9.810226;1571729175036, 9.822326;1571729175127, 9.822598;1571729175226, 9.848379;1571729175320, 9.821815;1571729175416, 9.847584;1571729175513, 9.813939;
I: 1571729175609, 9.826475;1571729175704, 9.844143;1571729175801, 9.811137;1571729175897, 9.822487;1571729175993, 9.818203;1571729176086, 9.848581;1571729176186, 9.811506;1571729176281, 9.821979;1571729176376, 9.819935;1571729176472, 9.814986;1571729176569, 9.853229;
I: 1571729176663, 9.821079;1571729176760, 9.826181;1571729176855, 9.816138;1571729176952, 9.830148;1571729177061, 9.815612;1571729177142, 9.839654;1571729177239, 9.806014;1571729177333, 9.819086;1571729177430, 9.835815;1571729177524, 9.821575;1571729177621, 9.822872;
I: 1571729177718, 9.809112;1571729177814, 9.836276;1571729177908, 9.79822;1571729178004, 9.855553;1571729178098, 9.811199;1571729178195, 9.82466;1571729178293, 9.822326;1571729178389, 9.825512;1571729178483, 9.827704;1571729178576, 9.825548;1571729178674, 9.839924;
I: 1571729178769, 9.812376;1571729178866, 9.802826;1571729178962, 9.810418;1571729179057, 9.83176;1571729179154, 9.823325;1571729179251, 9.820444;1571729179346, 9.823578;1571729179443, 9.814441;1571729179538, 9.811446;1571729179633, 9.833035;1571729179728, 9.812082;
I: 1571729179821, 9.837727;1571729179922, 9.821963;1571729180018, 9.817049;1571729180111, 9.820991;1571729180208, 9.822719;1571729180303, 9.817321;1571729180398, 9.815501;1571729180495, 9.839202;1571729180591, 9.821792;1571729180687, 9.831394;1571729180784, 9.83067;
I: 1571729180880, 9.807022;1571729180974, 9.817294;1571729181070, 9.827813;1571729181168, 9.812902;1571729181263, 9.824508;1571729181358, 9.80597;1571729181453, 9.812103;1571729181549, 9.806306;1571729181643, 9.810418;1571729181740, 9.808408;1571729181838, 9.819839;
I: 1571729181935, 9.82466;1571729182027, 9.817299;1571729182124, 9.833845;1571729182223, 9.790397;1571729182318, 9.848601;1571729182411, 9.806661;1571729182506, 9.817145;1571729182603, 9.814634;1571729182701, 9.828701;1571729182795, 9.805739;1571729182892, 9.795089;
I: 1571729182989, 9.823265;1571729183079, 9.797702;1571729183179, 9.806528;1571729183276, 9.797839;1571729183369, 9.822598;1571729183464, 9.814868;1571729183561, 9.815594;1571729183656, 9.823051;1571729183754, 9.802532;1571729183852, 9.815577;1571729183945, 9.8176565;
I: 1571729184052, 9.830362;1571729184135, 9.831328;1571729184233, 9.807812;1571729184326, 9.808408;1571729184425, 9.808679;1571729184521, 9.828065;1571729184616, 9.801585;1571729184712, 9.816773;1571729184808, 9.833645;1571729184904, 9.816865;1571729185000, 9.829812;
I: 1571729185093, 9.8176565;1571729185189, 9.806617;1571729185287, 9.826208;1571729185382, 9.829272;1571729185478, 9.783224;1571729185570, 9.818054;1571729185669, 9.840646;1571729185764, 9.811949;1571729185861, 9.808625;1571729185958, 9.799685;1571729186052, 9.811085;
I: 1571729186149, 9.789313;1571729186246, 9.805529;1571729186341, 9.843887;1571729186435, 9.814754;1571729186530, 9.834193;1571729186626, 9.839864;1571729186719, 9.800419;1571729186814, 9.786312;1571729186910, 9.800728;1571729187006, 9.826364;1571729187101, 9.812261;
I: 1571729187198, 9.807575;1571729187296, 9.809842;1571729187389, 9.816356;1571729187486, 9.813694;1571729187581, 9.819205;1571729187678, 9.806594;1571729187772, 9.845609;1571729187869, 9.8124695;1571729187965, 9.828085;1571729188063, 9.823813;1571729188156, 9.803289;
I: 1571729188255, 9.824414;1571729188348, 9.820898;1571729188444, 9.818474;1571729188542, 9.823631;1571729188637, 9.810455;1571729188734, 9.821927;1571729188826, 9.813472;1571729188924, 9.834574;1571729189021, 9.813566;1571729189118, 9.802626;1571729189212, 9.817931;
