I/SleepMonitor: 1571685737274, 9.868853;1571685737370, 9.987537;1571685737465, 4.733709;1571685737561, 9.829273;1571685737655, 10.000029;1571685737751, 9.823647;1571685737849, 9.86673;1571685737943, 9.778434;1571685738038, 9.844688;1571685738134, 9.8923;1571685738227, 9.879174;
I/SleepMonitor: 1571685738324, 9.880532;1571685738420, 9.883404;1571685738514, 9.867041;1571685738611, 9.763066;1571685738705, 9.885097;1571685738800, 9.87174;1571685738897, 9.87892;1571685738992, 9.832205;1571685739086, 9.853841;1571685739181, 9.810511;1571685739276, 9.809391;
I/SleepMonitor: 1571685739371, 9.861764;1571685739467, 9.815982;1571685739563, 9.8364;1571685739659, 9.864694;1571685739754, 9.898521;1571685739849, 9.818076;1571685739945, 9.817167;1571685740041, 9.816355;1571685740137, 9.825009;1571685740232, 9.907652;1571685740328, 9.788326;
I/SleepMonitor: 1571685740423, 9.911409;1571685740518, 9.845562;1571685740613, 9.761476;1571685740709, 9.725275;1571685740804, 9.929179;1571685740899, 9.887138;1571685740995, 9.835236;1571685741091, 9.823986;1571685741186, 9.8477;1571685741281, 9.865719;1571685741377, 9.858762;
I/SleepMonitor: 1571685741472, 9.853747;1571685741568, 9.697934;1571685741663, 9.993444;1571685741759, 9.849011;1571685741854, 9.894715;1571685741949, 9.876808;1571685742044, 9.846323;1571685742139, 9.71363;1571685742235, 9.891059;1571685742331, 9.829557;1571685742425, 9.840099;
I/SleepMonitor: 1571685742520, 9.894686;1571685742617, 9.755317;1571685742712, 9.846752;1571685742808, 9.888286;1571685742903, 9.848553;1571685742998, 9.864083;1571685743094, 9.843177;1571685743190, 9.79259;1571685743285, 9.719347;1571685743379, 9.7908125;1571685743474, 9.857876;
I/SleepMonitor: 1571685743570, 9.83522;1571685743666, 9.823808;1571685743761, 9.82325;1571685743857, 9.857604;1571685743952, 9.819917;1571685744047, 9.839266;1571685744142, 9.841757;1571685744237, 9.901229;1571685744333, 9.874738;1571685744429, 9.950861;1571685744525, 9.82747;
I/SleepMonitor: 1571685744620, 9.792629;1571685744715, 9.88682;1571685744811, 9.883396;1571685744906, 9.8884735;1571685745002, 9.877496;1571685745098, 9.82383;1571685745192, 9.799947;1571685745287, 9.865774;1571685745382, 9.9178705;1571685745477, 9.999664;1571685745574, 9.827663;
I/SleepMonitor: 1571685745669, 9.894692;1571685745764, 9.808017;1571685745860, 9.8511;1571685745956, 9.923271;1571685746050, 9.51568;1571685746146, 9.796692;1571685746241, 9.838445;1571685746337, 9.860747;1571685746432, 9.901902;1571685746527, 9.866978;1571685746623, 9.77871;
I/SleepMonitor: 1571685746720, 9.81811;1571685746814, 9.804645;1571685746913, 9.852945;1571685747004, 9.813983;1571685747100, 9.806197;1571685747196, 9.760058;1571685747290, 9.83954;1571685747386, 9.874396;1571685747482, 9.891095;1571685747577, 9.853764;1571685747672, 9.840662;
I/SleepMonitor: 1571685747767, 9.859531;1571685747863, 9.866306;1571685747960, 9.8897705;1571685748054, 9.880043;1571685748150, 9.849284;1571685748245, 9.830395;1571685748341, 9.863447;1571685748436, 9.865851;1571685748531, 9.854667;1571685748627, 9.8544855;1571685748722, 9.851615;
I/SleepMonitor: 1571685748818, 9.874722;1571685748912, 9.891696;1571685749010, 9.873421;1571685749104, 9.819534;1571685749199, 9.804804;1571685749294, 9.865288;1571685749389, 9.888784;1571685749486, 9.912992;1571685749582, 9.894643;1571685749678, 9.817444;1571685749772, 9.807621;
I/SleepMonitor: 1571685749868, 9.834666;1571685749962, 9.886841;1571685750058, 9.8609295;1571685750154, 9.85144;1571685750249, 9.849737;1571685750344, 9.842707;1571685750440, 9.8953285;1571685750536, 9.875761;1571685750631, 9.816263;1571685750726, 9.825573;1571685750821, 9.882717;
I/SleepMonitor: 1571685750917, 9.884314;1571685751013, 9.858907;1571685751108, 9.874558;1571685751203, 9.813997;1571685751298, 9.84906;1571685751392, 9.893675;1571685751487, 9.899151;1571685751582, 9.859683;1571685751678, 9.829473;1571685751774, 9.6566305;1571685751870, 9.164742;
I/SleepMonitor: 1571685751964, 9.982132;1571685752059, 9.858004;1571685752155, 9.885403;1571685752253, 9.764118;1571685752347, 9.686314;1571685752443, 9.839889;1571685752539, 9.796371;1571685752634, 9.882866;1571685752730, 9.820609;1571685752825, 9.846452;1571685752919, 9.863019;
I/SleepMonitor: 1571685753016, 9.90985;1571685753110, 9.878805;1571685753207, 9.854937;1571685753308, 9.828111;1571685753397, 9.855589;1571685753492, 9.946915;1571685753587, 9.816146;1571685753683, 9.855618;1571685753778, 9.771322;1571685753874, 9.997383;1571685753969, 9.802797;
I/SleepMonitor: 1571685754064, 10.016294;1571685754159, 9.8424;1571685754255, 9.822008;1571685754352, 9.822001;1571685754446, 9.870625;1571685754542, 9.87478;1571685754637, 9.908495;1571685754732, 9.868032;1571685754828, 9.849245;1571685754923, 9.851882;1571685755018, 9.885232;
I/SleepMonitor: 1571685755114, 9.8424;1571685755209, 9.847278;1571685755305, 9.8637085;1571685755401, 9.876921;1571685755496, 9.879901;1571685755591, 9.909096;1571685755688, 9.8453245;1571685755782, 9.846327;1571685755878, 9.858785;1571685755972, 9.900867;1571685756068, 9.855923;
I/SleepMonitor: 1571685756164, 9.87355;1571685756260, 9.83911;1571685756354, 9.793166;1571685756451, 9.867737;1571685756545, 9.910286;1571685756641, 9.899253;1571685756736, 9.85186;1571685756831, 9.814749;1571685756928, 9.8333845;1571685757023, 9.823022;1571685757118, 9.875012;
